typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	
4	Trillium Twirl																Dowling MI	https://michigandanceheritage.org/trilliumtwirl/	
4	Portland Raindance Weekend																Portland OR	http://www.portlandraindance.org/	
4	NexGen Contra Weekend																Ann Arbor MI	https://aactmad.org/nexgen-contra	
4	Palmetto Bug Stomp																Charleston SC	http://charlestonfolk.weebly.com/palmetto-bug-stomp.html	
4	Contra Holiday in Medieval England	George Marshall	Terry Doyle	Janet Shephard	Charlie Turner			Wild Asparagus	Contrasaurus					Gents / Ladies	4/2/2025	4/9/2025	Ely UK	www.contraholiday.net	
5	Dancing Fish: May																Melrose FL	https://dancingfish.dance/	
5	Whitewater Whirl																Fayetteville WV	https://www.footmad.org/whirl	
5	Lake Eden Arts Festival - Spring																Black Mountain NC	https://theleaf.org/	
5	Meet Me in St Louis Dance Weekend																Webster Groves MO	https://childgrove.org/stl-dance-weekends/meetmeinstlouis	back in Kirkwood MO for 2025
5	FolkMADness Music & Dance Camp																Soccoro NM	http://folkmads.org/events/camps/folkmadness/	
5	Dancing Bear Dance Camp																Wasilla AK	http://www.thedancingbears.com/Dance-Camp.html	
5	Spring Dance Romance													Larks / Robins			Carrboro NC	https://tcdancers.org/sdr	
5	Northwest Folklife																Seattle WA	https://nwfolklife.org/festival/home.html	
5	Moulin d’Andé Weekend													Hommes/Femmes			Moulin d'Ande, Normandy, France	https://sites.google.com/site/americancontradanceinparis/	
5	Contradancers Delight Holiday (Spring)													Ladies/Gents			Mountain City TN	https://www.contradancersdelight.com/	
6	Summer Soiree																Asheville NC	https://ashevillecontra.wixsite.com/summer-soiree-2024	
6	Stegastomp																Harbury UK	https://www.contrasaurus.com/stegastomp.html	
6	Dance Trance Weekend																Lexington KY	https://www.dancetrance.ltda.us/	
6	Dancing Fish: June																Melrose FL	https://dancingfish.dance/	
6	Gender-Free Dance Camp (Spring)													Larks / Robins			Plymouth MA	https://www.lcfd.org/spring-camp-2024.html	
6	Flamingo Fling Weekend																Oklahoma City OK	http://scissortail.org/special-events/flamingo-fling/	
6	Swing into Summer													Larks / Robins			Plymouth MA	http://www.swingintosummer.org/	
6	Lady of the Lake June Week							The Dam Beavers						Larks / Robins			Harrison, ID	http://www.ladyofthelake.org/june-week/	
6	Old Songs Festival																Voorheesville NY	http://festival.oldsongs.org/	
6	BACDS Family Week																La Honda CA	https://www.bacds.org/familyweek/	
6	American Buffalo Contra Dance Weekend																Bloomery WV		
6	Dance, Music & Spice at Cavell																Lexington MI	https://camp.cdss.org/camp-weeks/dance-music-spice-at-cavell/	
6	Taste of Haven														6/6/2025	6/8/2025	Syracuse IN	https://www.contracorners.net/events/taste-of-haven-2024/	
7	AmWeek																Ben Lomond CA	https://amweek.camp/	
7	Southern Aire: Dawn Dance																Mountain City TN	https://joyboundliving.com/dawn-dance	
7	Dancing Fish: July																Melrose FL	https://dancingfish.dance/	
7	Cumberland Dance Week																Pleasantville TN	https://camp.cumberlanddanceweek.org/	
7	July Fourth at Pinewoods																Plymouth MA	https://cds-boston-j4weekend.weebly.com/	
7	Pinewoods English-Scottish-Contra													Larks / Robins			Plymouth MA	https://rscdsboston.org/pinewoods-esc.html	
7	Roanoke Railroader	Will Mentor	Gaye Fifer					Toss the Possum	Latter Day Lizards	Rushfest							Salem VA	http://www.roanokerailroader.com/	
7	Ashokan Northern Week																Olivebridge NY	https://ashokancenter.org/product/northern-week-2024/	
7	American Dance & Music Week at Pinewoods																Plymouth MA	https://camp.cdss.org/camp-weeks/american-dance-music-week-2/	
7	Harmony of Song & Dance at Pinewoods																Plymouth MA	https://camp.cdss.org/camp-weeks/harmony-of-song-dance-at-pinewoods/	
7	Summergreen																Livingston MT	https://bozemanfolklore.org/summergreen/	
8	Sugar Hill Dance Weekend																Bloomington IN	http://bloomingtoncontra.org/sugar-hill/	
8	Family Week at Agassiz Village																Poland ME	https://camp.cdss.org/camp-weeks/family-week-at-agassiz-village-2/	
8	Cascade of Music & Dance at Louise																Cascade MD	https://camp.cdss.org/camp-weeks/cascade-of-music-dance-at-louise/	
8	Campers’ Week at Pinewoods																Plymouth MA	https://camp.cdss.org/camp-weeks/campers-week-at-pinewoods/	
8	Falcon Ridge Folk Festival																Goshen CT	http://falconridgefolk.com/	
8	Camp Damp																Juneau AK	http://www.juneaucontras.org/dance_camp_2023_stay_tuned.html	
8	Good Life Gallup																Omaha NE	https://www.thegoodlifegallop.org/	
8	Mentone																Mentone AL	http://www.footmadbirmingham.org/mentone.html	
8	Balance the Bay																San Francisco CA	https://www.bacds.org/camps/btb/	
8	TradMaD																Plymouth MA	http://minstrelrecords.com/tradmad/	
8	Susquehanna Folk Festival																York PA	https://www.sfmsfolk.org/festival/SusquehannaFolkFestival.html	
9	Dancing Fish: September																Melrose FL	https://dancingfish.dance/	
9	Contravana																Rochester NY	https://cdrochester.org/	
9	Rendezvous Dance Weekend																Boulder CO	https://cfootmad.org/rendezvous	
9	Michigan Dance Heritage Fall Weekend																Lexington MI	https://michigandanceheritage.org/fall/	
9	Dance Camp North																Fairbanks AK	https://contraborealis.org/dance-camp-north/	
9	Feet Retreat	Will Mentor	Cis Hinkle	Emily Rush	Gaye Fifer			Supertrad	River Road						9/19/2025	9/21/2025	Ellerbe NC	https://www.feetretreat.com/	
9	Bear Hug Dance Camp																Rollins MT	https://www.missoulafolk.org/bearhug	
9	Squirrel Moon Contra Dance weekend																Dodgeville WI	http://www.squirrelmoon.org/	
9	Echo Summit																Camp Sacremento	https://sactocds.wordpress.com/echo-summit-dance-camp-2024/	
9	Labor Day Dance Away																Julian CA	https://www.caldancecoop.org/special-events/labor-day-dance-away-2021/	next in 2024
9	Pinewoods Labor Day Weekend																Plymouth MA	https://facone.org/labor-day-weekend/labor-day-weekend.html	
9	Chehalis Dance Weekend																Surrey BC	https://chehalisdancecamp.com/	
9	Youth Dance Weekend													Larks / Robins			Weston VT	http://youthdanceweekend.org/	
9	Adirondack Dance Weekend																Silver Bay NY	https://www.danceflurry.org/adirondack-dance-weekend/	
9	Cascade Contras Dance Camp																Springfield OR	https://eugenefolklore.org/cascade-contras/	
10	Moondance Dance Weekend																Pickens SC	https://moondancesc.weebly.com/	
10	Dancing Fish: October																Melrose FL	https://dancingfish.dance/	
10	ContraStock																Glen Echo MD	https://fsgw.org/contrastock	
10	Wasatch Wiggle																Salt Lake City UT	https://wasatchcontras.org/ww/	
10	Lady of the Lake Fall Camp																Harrison, ID	http://www.ladyofthelake.org/fallwend/	
10	Harvest Moon Dance Festival																Santa Barbara CA	http://www.sbcds.org/hm/	
10	Gender-Free Dance Camp (Fall)																Olivebridge NY	https://www.lcfd.org/lcfd/	
10	Phylla Mae Fall Fest																Fayetteville NY	https://syracusecountrydancers.org/special-events/phylla-mae-fall-fest/	
10	Peterbough Fall Ball																Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-fall-ball-2019	
10	Lake Eden Arts Festival - Fall																Black Mountain NC	https://theleaf.org/	
10	Boo Camp																Jemez Springs NM	https://folkmads.org/2023/10/31/boo-camp/	
10	Music City Masquerade																Nashville TN	http://nashvillecountrydancers.org/music-city-masquerade/	
10	Fire Ant Frolic																Austin TX	http://www.fireantfrolic.org/	
10	Mountain Madness																Jonesborough TN	https://historicjonesboroughdancesocie.ticketspice.com/mountain-madness-2024?	
11	Dancing Fish: November																Melrose FL	https://dancingfish.dance/	
11	Foggy Moon Dance Weekend																Monterey CA	http://montereycontradance.org/foggy-moon.html	
11	ContraShock																New York NY	http://contrashock.org/	
11	Hey Fever Dance Weekend																Ottawa ON	http://www.ottawacontra.ca/heyFever/	
11	Dance in the Desert																Oracle AZ	https://tucsoncontradancers.org/tucson-contra-dancers/dance-in-the-desert-2024/	
11	Pittsburgh Fall Dance Weekend													Larks / Robins			Pittsburgh PA	http://pittsburghcontra.org/fdw/	
11	Head for the Hills Dance Weekend																Kresgeville PA	http://www.princetoncountrydancers.org/about-hfth	
11	Rose City Dance-a-Rama																Portland OR	https://www.dancearama.org/	
11	Atlanta Dance Weekend																Atlanta GA	https://adw.contradance.org/	
11	Contra Fest																Albany NY	https://www.danceflurry.org/event/contrafest/	
11	Fleur-de-Lis Fling																Louisville KY	http://www.louisvillecountrydancers.org/fleur-de-lis-fling	
11	ContraCopia																Philadelphia PA	http://www.thursdaycontra.com/contracopia/	
11	Breaking Up Thanksgiving																Evanston IL	https://www.breakingupthanksgiving.com/	
11	Catalina Dance Weekend																Catalina Island CA	https://www.catalinadanceweekend.com/	
12	Dancing Fish: December																Melrose FL	https://dancingfish.dance/	
12	Winter Warmup Dance Weekend																Worthington OH	https://bigscioty.com/winterwarmup/	
12	Contradancers Delight Holiday (Winter)													Ladies/Gents			Morgantown, WV	http://www.contradancersdelight.com/about-winter-cdh	
12	Bash on Vashon																Vashon Island WA	https://bashonvashon.org/	
12	Berea Christmas Country Dance School																Berea KY	https://bereaccds.org/	
12	Terpsichore's Holiday																Adamstown MD	https://terpsichore.lloydshaw.org/	
	end of active list																		
	check with emily rush to get full gig list																		
1	Orange Blossom Ball																Daytona FL	http://www.orangeblossomcontra.com/	
1	Contra Dream																Dayton VA	https://shenandoahvalleycontradance.weebly.com/contra-dream-2020.html	
1	Peterborough Snow Ball																Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-snow-ball-2018	
1	Wintergreen Dance Weekend																Bozeman MT	https://bozemanfolklore.org/wintergreen-2024/	
2	Fairbanks Winter Weekend																Fairbanks AK	https://contraborealis.org/winter-dance-weekend-2019/	
2	Chance Dance Weekend																Cape Girardeau MO	http://chance-dance.angelfire.com/	
2	Dancing with the GODS																Gainesville FL	http://godsdance.org/?q=weekend2019	
3	Lava Meltdown																Lava Hot Springs ID	https://www.facebook.com/LavaMeltdown/	
3	Tropical Dance Vacation: Hawaii																Big Island HI	http://www.tropicaldancevacation.com/	
3	Appleseed Allemande																North Manchester IN	http://www.contrafortwayne.org/Appleseed%20Allemande.html	
4	Chesapeake Dance Weekend																Edgewater MD	http://www.chesapeakedanceweekend.org/	
4	When in Doubt Swing																Dallas TX	http://www.nttds.org/wids.html	
4	Spring Thaw Weekend																Toronto ON	http://ieee.uwaterloo.ca/~tcd/thaw.php	
4	Desert Spring																Phoenix AZ	http://www.danceinaz.org/	
4	Spring Fling Owen Sound																Owen Sound ON	http://fiddlefern.ca/spring-fling/	
4	Mad Robin Romp																Bloomington IA	http://bloomingtoncontra.org/mad-robin-romp/	
	Contra Holiday in Medieval England																Ely, England	https://contraholiday.net/	next in 2025
5	Almost Heaven Dance Weekend																Darlington MD	https://sites.google.com/site/ahsince1988/home	
5	Form the Ocean													Larks / Robins			Becket MA	next in 2020	
5	Camp Sturtevant Dance Weekend													Larks / Robins			Arcadia CA	http://www.caldancecoop.org/camp-sturtevant/	
5	Butterfly Whirl																Clarkston GA	http://butterflywhirl.com/	
6	Dance Trance Weekend																Lexington KY	http://www.dancetrance.ltda.ws/	
6	June Bug Bash																Pinellas Park FL	https://www.facebook.com/events/pinellas-park-auditorium/june-bug-bash/284762719071796/	
6	Faultline Frolic																Santa Rosa CA	https://nbcds.org/faultline-frolic-2019/	
6	Asheville Summer Soiree																Asheville NC	http://www.ashevillecontra.com/	
7	Ooh La La Dance Weekend																Richmond QC	http://oohlaladance.com/	
7	Delafield IndepenDance Daze Weekend																Delafield WI	http://www.delafieldcontra.com/Delafield_Contra_Weekend.html	
	Northfield Winter Stomp																	cancelled for 2017	
7	Chattaboogie																Chattanooga TN	not in 2016 or 2017	
8	Drumlin Contra Dance Camp																	https://www.facebook.com/Drumlin-Contra-Dance-Camp-108143410543945/?	
8	Burning Man Contra Dance Camp																Black Rock City	http://www.contraburners.org/	
9	Labor Day Dawndance																Brattleboro VT	http://www.dawndance.org/	
3	Tropical Dance Vacation: Hawaii																Big Island, Hawaii	not in 2018	
5	Catapult!																Atlanta GA	not in 2018, butterfly whirl instead	
5	Memorial Day Dawndance																Brattleboro VT	http://www.dawndance.org/	needs organizers
3	Spring Fever Dance Weekend																Aptos CA	indefinite hiatus	
2	Midwinter Meltdown Dance Weekend																Lawrence KS	taking 2018 off	
1	A New Year's Affair																Jonesborough TN	can't find 2018 data; not sure if it happened	
1	Shenandoah Shindig																Dayton VA	can't find anything about 2018	
3	Memfest Dance Weekend																Memphis TN	can't find anything about 2018	
3	Contra Holiday in Medieval England																Ely, England	next happening in 2019	
3	Phoenix Spring Frolic																Mesa AZ	looks like they only did a winter one this year	
5	Wheatland Traditional Arts Weekend																Remus, M	no contra	
8	Fly the Coop Contra Weekend																Gainesville GA	doesn't seem to be in 2018?	
9	Oldtone Roots Festival																Hillsdale NY	very little contra in 2018	
9	Ozark Folk Center Dance Days																Mountain View AR	http://www.arkansascountrydance.org/ozark.htm	
9	Star Hampshire Traditional Music and Dance Weekend																Portsmouth NH	DEFUNCT	
9	Footfall Dance Weekend																High View WV	http://www.footfalldance.com/index.php	
10	Solefest Dance Weekend																Springfield MO	cancelled for 2018	
9	Northwest Passage Dance Camp																Rhododendron	ecd every other year	
10	Fine Time at Our House																Fayetteville AR	very little contra	
5	Blue Moon Dance Weekend																Huntsville AL	doesn't look like it happened in 2018	
10	Hoosier Partner																Indianapolis IN	not in 2019	
10	Looking Glass Music and Dance Festival																Lansing MI	http://www.lgmaa.org/lg_festival.html	
